Periode,Viandes,Boissons,Autres produits alimentaires,Entretien-hygiène-beauté,Date2,JOIN,LEFT,RIGHT,DAY
2024-01,130.32,120.07,125.81,107.59,1/1/2024,1/1/2024,2024,1,1
2023-12,131.14,119.7,125.92,109.02,1/12/2023,1/12/2023,2023,12,1
2023-11,131.45,119.78,126.14,109.27,1/11/2023,1/11/2023,2023,11,1
2023-10,131.24,119.64,126.08,109.34,1/10/2023,1/10/2023,2023,10,1
2023-09,131.46,119.77,126.24,109.16,1/9/2023,1/9/2023,2023,9,1
2023-08,131.83,120.43,126.62,110.18,1/8/2023,1/8/2023,2023,8,1
2023-07,131.61,120.07,126.28,109.75,1/7/2023,1/7/2023,2023,7,1
2023-06,131.07,119.58,125.88,109.65,1/6/2023,1/6/2023,2023,6,1
2023-05,131.03,119.18,125.58,109.15,1/5/2023,1/5/2023,2023,5,1
2023-04,130.24,118.19,124.58,108.94,1/4/2023,1/4/2023,2023,4,1
2023-03,128.79,116.53,122.54,108.19,1/3/2023,1/3/2023,2023,3,1
2023-02,127.83,115.05,120.01,107.61,1/2/2023,1/2/2023,2023,2,1
2023-01,126.68,114.16,118.6,106.57,1/1/2023,1/1/2023,2023,1,1
2022-12,125.37,112.93,117.04,106.31,1/12/2022,1/12/2022,2022,12,1
2022-11,124.59,112.56,116.03,105.01,1/11/2022,1/11/2022,2022,11,1
2022-10,122.67,111.4,114.5,103.25,1/10/2022,1/10/2022,2022,10,1
2022-09,120.93,110.32,112.67,101.02,1/9/2022,1/9/2022,2022,9,1
2022-08,120.48,110.33,111.96,101.72,1/8/2022,1/8/2022,2022,8,1
2022-07,118.3,109.09,109.79,100.35,1/7/2022,1/7/2022,2022,7,1
2022-06,116.37,107.88,107.99,99.42,1/6/2022,1/6/2022,2022,6,1
2022-05,114.59,107.5,107.23,97.74,1/5/2022,1/5/2022,2022,5,1
2022-04,112.16,106.64,105.96,97.8,1/4/2022,1/4/2022,2022,4,1
2022-03,110.52,105.39,104.57,96.66,1/3/2022,1/3/2022,2022,3,1
2022-02,109.89,104.74,103.52,96.64,1/2/2022,1/2/2022,2022,2,1
2022-01,109.28,104.56,103.21,95.85,1/1/2022,1/1/2022,2022,1,1
2021-12,109.34,104.38,103.04,96.78,1/12/2021,1/12/2021,2021,12,1
2021-11,108.87,104.36,102.61,96.4,1/11/2021,1/11/2021,2021,11,1
2021-10,108.52,103.83,102.29,96.04,1/10/2021,1/10/2021,2021,10,1
2021-09,108.45,103.92,102.32,95.84,1/9/2021,1/9/2021,2021,9,1
2021-08,108.89,104.47,102.77,96.82,1/8/2021,1/8/2021,2021,8,1
2021-07,108.56,104.26,102.71,96.56,1/7/2021,1/7/2021,2021,7,1
2021-06,108.53,104.13,102.55,96.78,1/6/2021,1/6/2021,2021,6,1
2021-05,108.05,104.2,102.69,96.09,1/5/2021,1/5/2021,2021,5,1
2021-04,107.93,104.24,102.66,96.2,1/4/2021,1/4/2021,2021,4,1
2021-03,107.69,104.14,102.64,96.71,1/3/2021,1/3/2021,2021,3,1
2021-02,107.96,104.3,102.23,96.88,1/2/2021,1/2/2021,2021,2,1
2021-01,107.46,104.3,102.36,96.35,1/1/2021,1/1/2021,2021,1,1
2020-12,108.05,103.94,102.53,97.28,1/12/2020,1/12/2020,2020,12,1
2020-11,107.8,104.03,102.53,96.98,1/11/2020,1/11/2020,2020,11,1
2020-10,107.39,103.77,102.5,96.96,1/10/2020,1/10/2020,2020,10,1
2020-09,107.76,103.95,102.63,96.78,1/9/2020,1/9/2020,2020,9,1
2020-08,108.14,104.4,103.03,97.84,1/8/2020,1/8/2020,2020,8,1
2020-07,107.78,104.15,103.04,97.47,1/7/2020,1/7/2020,2020,7,1
2020-06,108.25,104.16,103.19,97.02,1/6/2020,1/6/2020,2020,6,1
2020-05,108.33,104.22,103.37,97.32,1/5/2020,1/5/2020,2020,5,1
2020-04,108.05,104.21,103.43,97.66,1/4/2020,1/4/2020,2020,4,1
2020-03,107.72,104.2,102.91,97.49,1/3/2020,1/3/2020,2020,3,1
2020-02,107.37,104.24,102.77,97.74,1/2/2020,1/2/2020,2020,2,1
2020-01,107.41,104.04,102.75,97.47,1/1/2020,1/1/2020,2020,1,1
2019-12,107.17,103.86,103.01,98.35,1/12/2019,1/12/2019,2019,12,1
2019-11,106.62,103.76,102.91,98.03,1/11/2019,1/11/2019,2019,11,1
2019-10,105.9,103.69,102.88,98.24,1/10/2019,1/10/2019,2019,10,1
2019-09,105.89,103.66,102.71,98.31,1/9/2019,1/9/2019,2019,9,1
2019-08,106.25,103.79,102.91,98.49,1/8/2019,1/8/2019,2019,8,1
2019-07,105.18,103.66,102.73,98.39,1/7/2019,1/7/2019,2019,7,1
2019-06,104.7,103.65,102.74,98.37,1/6/2019,1/6/2019,2019,6,1
2019-05,104.26,103.65,102.66,98.27,1/5/2019,1/5/2019,2019,5,1
2019-04,103.65,103.34,102.52,98.47,1/4/2019,1/4/2019,2019,4,1
2019-03,103.7,103.19,102.21,98.45,1/3/2019,1/3/2019,2019,3,1
2019-02,103.7,102.81,101.97,98.58,1/2/2019,1/2/2019,2019,2,1
2019-01,103.05,102.07,101.71,98.63,1/1/2019,1/1/2019,2019,1,1
2018-12,102.93,102.04,101.55,98.66,1/12/2018,1/12/2018,2018,12,1
2018-11,102.78,101.94,101.38,98.26,1/11/2018,1/11/2018,2018,11,1
2018-10,102.33,101.74,101.2,98.18,1/10/2018,1/10/2018,2018,10,1
2018-09,102.53,101.65,101.16,98.11,1/9/2018,1/9/2018,2018,9,1
2018-08,102.81,101.52,101.16,98.41,1/8/2018,1/8/2018,2018,8,1
2018-07,102.33,100.96,100.85,98.19,1/7/2018,1/7/2018,2018,7,1
2018-06,102.31,100.71,100.74,98.32,1/6/2018,1/6/2018,2018,6,1
2018-05,102.35,100.78,100.69,98.63,1/5/2018,1/5/2018,2018,5,1
2018-04,101.91,100.48,100.56,98.65,1/4/2018,1/4/2018,2018,4,1
2018-03,102.05,100.36,100.39,98.7,1/3/2018,1/3/2018,2018,3,1
2018-02,101.91,100.36,100.3,98.69,1/2/2018,1/2/2018,2018,2,1
2018-01,101.4,100.36,100.34,98.59,1/1/2018,1/1/2018,2018,1,1
2017-12,101.84,100.21,100.32,98.78,1/12/2017,1/12/2017,2017,12,1
2017-11,101.92,100.37,100.3,98.63,1/11/2017,1/11/2017,2017,11,1
2017-10,101.48,100.3,100.05,98.78,1/10/2017,1/10/2017,2017,10,1
2017-09,101.46,100.34,100.18,98.59,1/9/2017,1/9/2017,2017,9,1
2017-08,101.82,100.42,100.14,98.94,1/8/2017,1/8/2017,2017,8,1
2017-07,101.27,100.43,100.03,98.77,1/7/2017,1/7/2017,2017,7,1
2017-06,101.19,100.36,99.79,98.72,1/6/2017,1/6/2017,2017,6,1
2017-05,101.03,100.38,99.73,98.44,1/5/2017,1/5/2017,2017,5,1
2017-04,100.53,100.19,99.53,98.59,1/4/2017,1/4/2017,2017,4,1
2017-03,100.62,100.16,99.25,98.77,1/3/2017,1/3/2017,2017,3,1
2017-02,100.45,100,99.13,98.79,1/2/2017,1/2/2017,2017,2,1
2017-01,100.42,99.95,99.21,98.77,1/1/2017,1/1/2017,2017,1,1
2016-12,100.53,99.8,99.14,99.02,1/12/2016,1/12/2016,2016,12,1
2016-11,100.48,99.84,99.2,98.84,1/11/2016,1/11/2016,2016,11,1
2016-10,99.87,99.8,99.1,98.94,1/10/2016,1/10/2016,2016,10,1
2016-09,99.95,99.83,99.17,98.84,1/9/2016,1/9/2016,2016,9,1
2016-08,100.53,99.96,99.42,99,1/8/2016,1/8/2016,2016,8,1
2016-07,100.31,99.83,99.34,98.77,1/7/2016,1/7/2016,2016,7,1
2016-06,100.13,99.82,99.5,98.89,1/6/2016,1/6/2016,2016,6,1
2016-05,100.43,99.79,99.51,98.83,1/5/2016,1/5/2016,2016,5,1
2016-04,100.22,99.62,99.54,99.03,1/4/2016,1/4/2016,2016,4,1
2016-03,100.2,99.67,99.65,99.13,1/3/2016,1/3/2016,2016,3,1
2016-02,100.19,99.81,99.81,99.28,1/2/2016,1/2/2016,2016,2,1
2016-01,100.18,99.88,99.91,99.28,1/1/2016,1/1/2016,2016,1,1
2015-12,100.7,99.83,99.95,99.66,1/12/2015,1/12/2015,2015,12,1
2015-11,100.41,99.83,100.02,99.64,1/11/2015,1/11/2015,2015,11,1
2015-10,100.11,99.81,100.02,99.77,1/10/2015,1/10/2015,2015,10,1
2015-09,99.97,99.91,99.98,99.85,1/9/2015,1/9/2015,2015,9,1
2015-08,100.42,100.11,99.9,100,1/8/2015,1/8/2015,2015,8,1
2015-07,100.11,100.08,99.85,99.85,1/7/2015,1/7/2015,2015,7,1
2015-06,99.94,100,99.88,99.81,1/6/2015,1/6/2015,2015,6,1
2015-05,99.85,100.1,99.9,100.09,1/5/2015,1/5/2015,2015,5,1
2015-04,99.58,100.1,99.98,100.29,1/4/2015,1/4/2015,2015,4,1
2015-03,99.62,100.02,100.06,100.26,1/3/2015,1/3/2015,2015,3,1
2015-02,99.76,100.11,100.19,100.39,1/2/2015,1/2/2015,2015,2,1
2015-01,99.53,100.1,100.27,100.4,1/1/2015,1/1/2015,2015,1,1
